tc_name,index,account_json_file_name,account_effective_at,edit_config,default_payment_process_method,processor_name,autoEnabled,toggleAutoEnabled
PP911 - ACH - Edit the Payment Processor config for an account - toggle Autopay from true to false,1,account_payment_processor_ach_repay.json,2021-03-20T09:11:28+00:00,account_processor_config_ach_repay.json,ACH,REPAY,TRUE,FALSE
PP912 - ACH - Edit the Payment Processor config for an account - toggle Autopay from false to true,2,account_payment_processor_ach_repay.json,2021-03-20T09:11:28+00:00,account_processor_config_ach_repay.json,ACH,REPAY,FALSE,TRUE
PP911A - Debit Card - Edit the Payment Processor config for an account - toggle Autopay from true to false,3,account_payment_processor_debit_card_repay.json,2021-03-20T09:11:28+00:00,account_processor_config_debit_card_repay.json,DEBIT_CARD,REPAY,TRUE,FALSE
PP912A - Debit Card - Edit the Payment Processor config for an account - toggle Autopay from false to true,4,account_payment_processor_debit_card_repay.json,2021-03-20T09:11:28+00:00,account_processor_config_debit_card_repay.json,DEBIT_CARD,REPAY,FALSE,TRUE
PP948 - Dwolla - Edit the Payment Processor config for an account - toggle Autopay from true to false,5,account_payment_processor_ach_dwolla.json,2021-03-20T09:11:28+00:00,account_processor_config_ach_dwolla.json,ACH,DWOLLA,TRUE,FALSE
PP949 - Dwolla - Edit the Payment Processor config for an account - toggle Autopay from false to true,6,account_payment_processor_ach_dwolla.json,2021-03-20T09:11:28+00:00,account_processor_config_ach_dwolla.json,ACH,DWOLLA,FALSE,TRUE
PP985 - Modern treasury - Edit the Payment Processor config for an account - toggle Autopay from true to false,7,account_payment_processor_ach_modern_treasury.json,2021-03-20T09:11:28+00:00,account_processor_config_ach_modern_treasury.json,ACH,MODERN_TREASURY,TRUE,FALSE
PP986 - Modern treasury - Edit the Payment Processor config for an account - toggle Autopay from flase to true,8,account_payment_processor_ach_modern_treasury.json,2021-03-20T09:11:28+00:00,account_processor_config_ach_modern_treasury.json,ACH,MODERN_TREASURY,FALSE,TRUE
PP1022 - Checkout - Edit the Payment Processor config for an account - toggle Autopay from true to false,9,account_payment_processor_credit_card_checkout.json,2021-03-20T09:11:28+00:00,account_processor_config_credit_card_checkout.json,CREDIT_CARD,CHECKOUT,TRUE,FALSE
PP1023 - Checkout - Edit the Payment Processor config for an account - toggle Autopay from false to true,10,account_payment_processor_credit_card_checkout.json,2021-03-20T09:11:28+00:00,account_processor_config_credit_card_checkout.json,CREDIT_CARD,CHECKOUT,FALSE,TRUE
