"accountId","lineItemId"
3607,5034
1000,2
1000,1
1001,3
63272,183742
3608,5035
3609,5037
3610,5042
3611,5044
3612,5045
3629,5080
3630,5081
3631,5082
3632,5084
3652,5125
3653,5127
3654,5128
3655,5133
3656,5134
3657,5137
3658,5138
3659,5141
3660,5143
3661,5144
3662,5147
3663,5149
3664,5151
3665,5153
3666,5155
3667,5158
3668,5160
3669,5162
3670,5164
3671,5165
3672,5168
1004,7
1004,40
1004,41
1004,42
1004,43
1004,44
1004,45
1004,46
1004,47
1004,48
1004,49
1004,50
1004,6
1003,5
1004,51
1004,52
1004,53
1004,54
1004,55
1004,56
1004,57
1004,58
1004,59
1004,60
1004,61
1004,62
1004,63
1004,64
1004,65
1004,66
1004,67
1004,68
1004,69
1004,70
1004,71
1004,72
1004,16
1004,29
1004,9
1004,10
1004,11
1004,12
1004,13
1004,14
1004,15
1004,17
1004,18
1004,19
1004,20
1004,21
1004,22
1004,23
1004,24
1004,25
1004,26
1004,27
1004,28
1004,30
1004,31
1004,32
1004,33
1004,34
1004,35
1004,36
1004,37
1004,38
1004,39
1004,8
1004,73
1004,74
1004,75
1004,76
1004,77
1004,78
1004,79
1004,80
1004,81
1004,82
1004,83
1004,84
1004,85
1005,86
1006,87
1005,88
1006,89
1005,90
1006,91
1007,92
1007,93
1007,94
1008,95
1008,96
1008,97
1009,98
1009,99
1009,100
1010,101
1010,102
1010,103
1011,104
1011,105
1011,106
1012,107
1012,108
1012,109
1013,110
1131,458
1013,111
1013,112
1014,113
1014,114
1014,115
1015,116
1015,117
1015,118
1016,119
1016,120
1016,121
1017,122
1017,123
1017,124
1018,125
1018,126
1018,127
1019,128
1019,129
1019,130
1020,131
1020,132
1020,133
1021,134
1021,135
1021,136
1022,137
1022,138
1022,139
1023,140
1023,141
1023,142
1024,143
4167,6156
27514,54112
1024,144
1024,145
1025,146
1025,147
1025,148
1026,149
1026,150
1026,151
1027,152
1027,153
1027,154
1028,155
1028,156
1028,157
1029,158
1029,159
1029,160
1030,161
1030,162
1030,163
1031,164
1031,165
1031,166
1032,167
1032,168
1032,169
1033,170
1033,171
1033,172
1034,173
1034,174
1034,175
1035,176
4168,6160
27588,54768
1035,177
1035,178
1036,179
1036,180
1036,181
1037,182
1037,183
1037,184
1038,185
1038,186
1038,187
1039,188
1039,189
1039,190
1040,191
1040,192
1040,193
1041,194
1041,195
1041,196
1042,197
1042,198
1042,199
1043,200
1043,201
1043,202
1044,203
1044,204
1044,205
1045,206
1045,207
1045,208
1046,209
4169,6162
27588,54769
1046,210
1046,211
1047,212
1047,213
1047,214
1048,215
1048,216
1048,217
1049,218
1049,219
1049,220
1050,221
1050,222
1050,223
1051,224
1051,225
1051,226
1052,227
1052,228
1052,229
1053,230
1053,231
1053,232
1054,233
1054,234
1054,235
1055,236
1055,237
1055,238
1056,239
1056,240
1056,241
1057,242
4170,6164
27588,54777
1057,243
1057,244
1058,245
1058,246
1058,247
1059,248
1059,249
1059,250
1060,251
1060,252
1060,253
1061,254
1061,255
1061,256
1062,257
1062,258
1062,259
1063,260
1064,261
1064,262
1064,263
1065,264
1065,265
1065,266
1066,267
1066,268
1066,269
1067,270
1067,271
1003,272
1067,273
1068,274
4239,6303
1068,276
4240,6304
27588,54778
1068,277
1068,275
1069,281
1069,282
1069,283
1070,284
1070,285
1070,286
1071,287
1071,288
1071,289
1072,290
1072,291
1072,292
1073,293
1073,294
1073,295
1074,296
1074,297
1074,298
1075,299
1075,300
1075,301
1076,302
1077,303
1077,304
1077,305
1078,306
1078,307
1078,308
1079,309
1079,310
1079,311
1080,312
1127,449
27592,54847
1080,313
1080,314
1081,315
1081,316
1081,317
1082,318
1082,319
1082,320
1083,321
1083,322
1083,323
1084,324
1084,325
1084,326
1085,327
1085,328
1085,329
1086,330
1086,331
1086,332
1087,333
1087,334
1087,335
1088,336
1088,337
1088,338
1089,339
1089,340
1089,341
1090,342
1090,343
1090,344
1091,345
1128,452
27595,54912
1091,346
1091,347
1092,348
1092,349
1092,350
1093,351
1093,352
1093,353
1094,354
1094,355
1094,356
1095,357
1095,358
1095,359
1096,360
1096,361
1096,362
1097,363
1097,364
1097,365
1098,366
1098,367
1098,368
1099,369
1099,370
1099,371
1100,372
1100,373
1100,374
1101,375
1101,376
1101,377
1102,378
1129,454
27602,55135
1102,379
1102,380
1103,381
1103,382
1103,383
1104,384
1104,385
1104,386
1105,387
1105,388
1105,389
1106,390
1106,391
1106,392
1107,393
1107,394
1107,395
1108,396
1108,397
1108,398
1109,399
1109,400
1109,401
1110,402
1110,403
1110,404
1111,405
1111,406
1111,407
1112,408
1112,409
1112,410
1113,411
1130,456
27653,55919
1113,412
1113,413
1114,414
1114,415
1114,416
1115,417
1115,418
1115,419
1116,420
1116,421
1116,422
1117,423
1117,424
1117,425
1118,426
1118,427
1118,428
1119,429
1119,430
1119,431
1120,432
1120,433
1120,434
1121,435
1121,436
1121,437
1122,438
1122,439
1123,440
1123,441
1123,442
1124,443
1124,444
1125,445
1126,447
1125,446
1126,448
1127,450
1127,451
1128,453
1129,455
1130,457
1131,460
1132,461
1133,464
1134,465
1135,469
1136,470
1137,471
3604,5038
3609,5043
3606,5039
4171,6165
4179,6181
4180,6183
4181,6187
4182,6188
4183,6189
4184,6191
4185,6194
4186,6195
4189,6202
4190,6203
4193,6209
4194,6213
4195,6214
4196,6217
4197,6218
1132,459
1133,462
1134,463
1135,466
1136,467
1137,468
1138,472
1139,473
1140,474
1138,475
1139,476
1140,477
1141,478
1142,479
1141,480
1143,481
1142,482
1144,483
1143,484
1144,485
1145,486
1146,487
1145,488
1147,489
1148,490
1147,491
1146,492
1148,493
1149,494
1150,495
1151,496
1152,497
1149,498
1153,499
1150,500
1151,501
1152,502
1153,503
1154,508
1155,509
1156,512
1157,513
1158,514
1159,515
1160,519
1161,521
1162,522
1163,526
1164,527
1165,529
1166,531
1167,533
1169,535
1168,537
1170,539
1171,541
1173,542
1172,545
1175,548
1174,551
1199,590
1154,504
1155,505
1156,506
1157,507
1158,510
1159,511
1160,516
1161,517
1162,518
1163,520
1164,523
1165,524
1166,525
1167,528
1168,530
1169,532
1170,534
1171,536
1172,538
1173,540
1174,543
1175,544
1176,546
1177,547
1178,549
1179,550
1180,553
1181,555
1182,557
1183,560
1184,562
3607,5041
3652,5130
4014,5859
4018,5864
4070,5966
4187,6197
4188,6201
4191,6204
4192,6207
4199,6221
4233,6290
4234,6291
4235,6295
4236,6296
4237,6299
1176,552
1177,554
1179,556
1178,558
1180,559
1182,561
1181,563
1185,564
1186,565
1187,566
1184,567
1183,568
1188,569
1189,570
1190,571
1185,572
1191,573
1187,574
1192,575
1186,576
1188,577
1192,578
1190,579
1189,580
1191,581
1193,582
1194,583
1195,584
1194,585
1196,586
1197,588
1198,589
1193,587
1197,592
1195,594
1196,595
1201,596
1199,598
1198,600
1200,601
1203,602
1202,604
1204,608
1206,610
1205,613
1207,614
1209,616
1210,619
1208,620
1213,622
1211,625
1212,628
1215,630
1214,631
1219,632
1216,633
1243,678
1200,591
1206,606
1207,607
1208,609
1209,611
1210,612
1211,615
1212,617
3613,5046
3614,5050
3615,5052
3616,5053
3617,5055
3618,5057
3619,5059
3620,5062
3621,5063
3622,5064
3623,5065
3624,5071
3625,5072
3626,5073
3627,5075
3628,5079
3633,5086
3634,5091
3635,5092
3636,5094
3637,5095
3638,5096
3639,5100
3640,5102
3641,5103
3642,5107
3643,5108
3644,5111
3645,5112
3646,5113
3647,5114
3648,5119
3649,5121
3650,5123
3651,5124
6252,10324
5090,8013
4239,6305
4240,6306
6522,10869
27662,56051
1201,593
1202,597
1203,599
1204,603
1205,605
1213,618
1214,621
1215,623
1216,624
1217,626
1218,627
1219,629
1220,634
1221,637
1222,638
1223,640
1224,642
1225,645
1226,646
1227,647
1228,648
1229,650
1230,653
1231,655
1232,658
1233,659
1234,662
1235,664
4241,6307
4242,6309
4243,6311
4366,6553
3613,5051
4367,6555
4368,6558
4369,6560
3614,5054
4371,6562
3617,5060
3620,5067
4372,6564
4373,6566
4374,6572
4375,6575
4376,6577
4377,6578
4378,6579
1218,635
1217,636
1220,639
1221,641
1223,643
1222,644
1224,649
1226,651
1225,652
1228,654
1229,656
1227,657
1231,660
1230,661
1232,663
1233,665
1236,666
1237,667
1238,668
1234,669
1236,670
1239,671
1235,672
1240,673
